_id,name,louvain_comm
5161,Rahul Banerjee,9
1593,Ishita Nair,0
10378,Pooja Gowda,11
118,Dev Deshmukh,11
122,Dev Bhat,11
119,Varun Nair,11
3092,Aisha Bhat,4
14226,Rohit Banerjee,1
10005,Ananya Sharma,11
14868,Vikram Mehta,11
10156,Sneha Bose,7
570,Aarohi Gowda,7
12619,Kabir Banerjee,1
6341,Kavya Bhat,10
7741,Priya Mehta,6
8840,Dev Deshmukh,1
5147,Aakash Kapoor,9
121,Aisha Joshi,11
2108,Jahnvi Singh,1
7819,Neha Kapoor,6
1127,Aarohi Mehta,0
10768,Harsh Gowda,11
4163,Kabir Gowda,8
10792,Vikram Gupta,11
8905,Siddharth Gupta,5
11774,Aisha Khan,11
3727,Ishita Kapoor,8
5551,Mira Bhat,9
7590,Diya Gowda,6
124,Neha Patel,11
8559,Arjun Chatterjee,11
13674,Rohit Sharma,11
14861,Neha Singh,7
3137,Sneha Patel,4
13348,Dev Gupta,11
3016,Nikhil Verma,3
125,Rajat Deshmukh,11
13250,Rajat Mukherjee,11
13593,Ira Reddy,11
2506,Meera Kapoor,3
126,Meera Verma,11
7561,Ananya Banerjee,6
13861,Diya Deshmukh,11
7891,Ira Deshmukh,6
677,Rohit Deshmukh,7
128,Kabir Gowda,11
9494,Meera Reddy,11
2378,Kabir Khan,3
129,Rohan Sharma,11
10407,Yash Reddy,11
10151,Sagar Patel,11
5807,Kabir Gowda,10
11664,Meera Nair,11
11204,Kunal Singh,3
11166,Kabir Gupta,11
130,Aakash Verma,11
1842,Jahnvi Gowda,1
1030,Aarav Joshi,0
6190,Tanvi Kapoor,10
131,Sneha Agarwal,11
607,Varun Singh,7
4759,Riya Bose,2
364,Naveen Gowda,11
12171,Rohan Mukherjee,11
11758,Dev Verma,7
2303,Vikram Bhat,1
12459,Aditi Bose,4
9193,Ishita Joshi,7
134,Ananya Verma,11
1875,Aarohi Verma,1
10597,Aakash Banerjee,11
5687,Tanvi Mehta,9
14547,Aakash Chatterjee,11
13316,Ankit Kapoor,7
14143,Aditi Gupta,7
136,Zoya Reddy,11
8257,Rohit Mehta,5
5228,Ishita Bose,9
9934,Priya Chatterjee,11
12118,Nikhil Mukherjee,11
137,Nisha Patel,11
6584,Ankit Joshi,12
6955,Varun Agarwal,13
13271,Rohit Chatterjee,11
13938,Rajat Bhat,11
138,Rahul Joshi,11
11489,Sneha Bhat,7
12811,Rajat Banerjee,11
6017,Zoya Mukherjee,10
601,Arjun Mehta,7
7850,Ira Joshi,6
4074,Kabir Reddy,8
8869,Riya Verma,5
1906,Riya Deshmukh,1
140,Naveen Singh,11
4190,Aarav Bose,8
13777,Nisha Banerjee,11
11563,Priya Bhat,11
12026,Ankit Nair,11
5896,Vikram Patel,10
9300,Nisha Banerjee,11
2578,Dev Khan,3
12340,Rajat Reddy,11
14890,Kunal Iyer,11
5588,Aakash Gupta,9
144,Rohit Chatterjee,11
13498,Ira Joshi,11
8361,Aditi Joshi,5
1716,Ankit Khan,1
145,Yash Sharma,11
8153,Priya Bhat,6
10499,Ira Reddy,11
708,Mira Mukherjee,7
146,Jahnvi Nair,11
11118,Kunal Sharma,7
2482,Aman Reddy,3
5149,Ananya Reddy,9
147,Mira Joshi,11
2106,Yash Gowda,1
3375,Kabir Gowda,4
3357,Rohit Khan,4
7204,Arjun Nair,13
6466,Aisha Bhat,12
14275,Zoya Kapoor,11
3858,Pooja Bhat,8
12622,Varun Singh,1
13031,Aditi Iyer,11
7950,Sneha Joshi,6
5171,Yash Iyer,9
150,Meera Sharma,11
7330,Ankit Kapoor,13
151,Ananya Mukherjee,11
1175,Rajat Mukherjee,0
5754,Harsh Bose,10
152,Dev Gowda,11
11128,Ananya Nair,11
2632,Rajat Nair,3
153,Kavya Sharma,11
12170,Meera Nair,11
154,Pooja Mukherjee,11
266,Aarav Iyer,11
6362,Arjun Agarwal,10
3467,Priya Iyer,4
2081,Arjun Chatterjee,1
11683,Zoya Bose,7
10476,Arjun Banerjee,11
14144,Kavya Deshmukh,11
8353,Aman Kapoor,5
14956,Rahul Chatterjee,0
2105,Neha Agarwal,1
159,Nikhil Mukherjee,11
14043,Aditi Deshmukh,11
12938,Rohan Bhat,7
12232,Aarohi Mukherjee,11
12261,Ananya Sharma,11
3384,Kunal Sharma,4
5310,Ananya Agarwal,9
12317,Nisha Sharma,11
12512,Sanya Iyer,11
7900,Priya Joshi,6
602,Aman Kapoor,7
348,Ananya Agarwal,11
5873,Ananya Reddy,10
163,Rohan Mehta,11
8400,Nikhil Bose,5
7864,Neha Patel,6
14542,Nisha Reddy,11
303,Ankit Banerjee,11
164,Meera Verma,11
6335,Sanya Singh,10
10934,Aisha Iyer,7
4108,Rajat Agarwal,8
12994,Meera Sharma,7
165,Harsh Mehta,11
10544,Varun Singh,11
8065,Kavya Kapoor,6
166,Rahul Banerjee,11
4021,Kabir Reddy,8
167,Jahnvi Deshmukh,11
7727,Sagar Nair,6
12143,Neha Khan,7
8484,Vikram Sharma,5
10059,Neha Mehta,11
168,Naveen Mehta,11
2513,Riya Gupta,3
12522,Naveen Reddy,11
9426,Kabir Sharma,11
5570,Harsh Verma,9
1806,Rohit Patel,1
171,Kabir Reddy,11
501,Kavya Gupta,7
2582,Sagar Chatterjee,3
396,Kunal Joshi,11
2048,Zoya Bose,1
7162,Meera Khan,13
14874,Riya Deshmukh,8
5167,Ananya Iyer,9
3199,Dev Reddy,0
177,Ankit Mehta,11
179,Ira Verma,11
12959,Aarohi Bose,11
5781,Zoya Sharma,10
180,Rajat Sharma,11
10109,Pooja Chatterjee,7
14930,Mira Gupta,3
4450,Sneha Kapoor,8
181,Siddharth Bose,11
11712,Aman Mehta,11
182,Arjun Verma,11
564,Siddharth Chatterjee,7
183,Rahul Agarwal,11
5398,Siddharth Mukherjee,9
11590,Jahnvi Bhat,7
184,Ananya Agarwal,11
4184,Aisha Sharma,8
3730,Aarohi Khan,8
1724,Siddharth Reddy,1
185,Kabir Nair,11
14789,Zoya Khan,11
13719,Riya Sharma,7
12315,Nisha Iyer,7
4220,Ananya Banerjee,8
10596,Priya Iyer,11
14451,Aarohi Reddy,7
6236,Aakash Chatterjee,10
2082,Nisha Patel,1
8253,Rahul Deshmukh,5
11631,Aakash Bhat,11
188,Rohit Deshmukh,11
13804,Sneha Deshmukh,11
3008,Aakash Agarwal,3
189,Nisha Kapoor,11
9341,Sagar Mehta,11
3619,Varun Mukherjee,4
2600,Yash Deshmukh,3
9053,Rohit Verma,5
5802,Ishita Joshi,10
4229,Harsh Singh,8
4977,Kavya Sharma,2
10641,Aarav Chatterjee,7
4844,Ankit Kapoor,2
12500,Diya Joshi,11
5257,Mira Patel,9
6177,Ishita Nair,10
11790,Kunal Kapoor,7
8897,Vikram Chatterjee,11
6652,Nisha Nair,12
226,Kabir Deshmukh,11
2834,Vikram Bose,3
6546,Varun Mehta,12
11419,Sagar Banerjee,11
3946,Aarohi Iyer,8
4328,Pooja Agarwal,8
193,Aarav Chatterjee,11
10498,Rajat Iyer,11
14406,Rajat Deshmukh,1
12794,Jahnvi Agarwal,7
194,Aarav Chatterjee,11
14391,Aakash Chatterjee,7
13349,Priya Banerjee,11
3313,Sneha Banerjee,4
6876,Arjun Bhat,12
3634,Pooja Joshi,4
10375,Arjun Iyer,11
3135,Rohit Singh,4
1548,Aman Sharma,0
8297,Priya Khan,5
195,Kabir Gupta,11
10168,Pooja Reddy,7
196,Zoya Singh,11
4568,Harsh Bhat,2
10485,Neha Deshmukh,0
2359,Aditi Bose,3
197,Aarohi Banerjee,11
655,Arjun Khan,7
2223,Mira Banerjee,1
199,Aditi Chatterjee,11
12992,Sanya Singh,11
8399,Tanvi Patel,5
9023,Kunal Singh,11
2441,Diya Bose,3
12847,Riya Kapoor,7
9599,Rahul Banerjee,11
7847,Rohit Reddy,6
11858,Aman Verma,11
722,Pooja Mehta,7
201,Nisha Sharma,11
13040,Siddharth Patel,0
10940,Yash Mukherjee,1
10685,Neha Banerjee,11
6608,Nikhil Sharma,12
202,Sneha Verma,11
9651,Aisha Bhat,11
13111,Kunal Mehta,11
821,Arjun Chatterjee,7
13956,Yash Singh,11
11502,Harsh Mukherjee,7
502,Zoya Banerjee,7
2266,Vikram Mukherjee,1
9678,Sanya Banerjee,7
204,Aarav Gowda,11
1638,Kabir Banerjee,0
5427,Aarohi Mukherjee,9
5008,Jahnvi Bose,2
11628,Naveen Iyer,11
205,Ira Khan,11
5184,Riya Patel,9
10857,Riya Mehta,0
756,Siddharth Banerjee,7
13785,Nikhil Bose,0
4045,Aisha Joshi,8
206,Yash Singh,11
14867,Rahul Sharma,11
13033,Aditi Joshi,11
14712,Yash Khan,7
8129,Jahnvi Khan,6
286,Nikhil Iyer,11
14941,Ananya Bose,11
3997,Aakash Deshmukh,8
209,Neha Banerjee,11
5829,Kunal Gowda,10
1276,Ira Mukherjee,0
8254,Aditi Sharma,11
432,Zoya Iyer,11
8519,Ira Patel,11
210,Aarohi Sharma,11
9139,Aisha Banerjee,7
3397,Rahul Patel,4
3766,Sanya Banerjee,8
211,Tanvi Bhat,11
12442,Kabir Singh,3
13864,Yash Verma,11
213,Jahnvi Gupta,11
214,Nikhil Khan,11
10552,Neha Chatterjee,11
7438,Meera Patel,13
11439,Sneha Deshmukh,11
7263,Aman Singh,13
4332,Mira Joshi,8
12110,Aarohi Banerjee,12
1167,Sanya Chatterjee,0
6937,Aman Joshi,12
10515,Ira Singh,7
9377,Tanvi Singh,7
216,Rahul Mukherjee,11
6219,Naveen Sharma,10
217,Ananya Gupta,11
12457,Dev Banerjee,1
4156,Meera Banerjee,8
6795,Diya Gowda,12
14748,Ankit Kapoor,11
12430,Aakash Iyer,11
9621,Mira Kapoor,11
218,Rahul Patel,11
14396,Arjun Deshmukh,0
6061,Kabir Mehta,10
13669,Aarohi Gowda,11
