_id,name,age,gender,city,state,country,primaryLang,languages,joinedAt,education,profession,interests,purpose,thirdParty,community
18,Yash Kapoor,44,male,Thiruvananthapuram,,India,ml,"ml,en",2018-11-07,undergrad,researcher,"gaming,art,science",socializing,False,0
19,Sanya Singh,21,female,Kochi,,India,ml,"ml,en",2022-07-14,phd,artist,sports,business,False,0
20,Yash Bose,38,male,Bhopal,,India,hi,hi,2023-01-12,other,manager,"nature,music,travel",gaming,False,0
21,Diya Banerjee,53,female,Hyderabad,,India,te,"te,en",2017-04-01,undergrad,doctor,"music,sports,science",business,False,0
22,Mira Mukherjee,35,female,Bhubaneswar,,India,or,"or,en,ta",2025-01-02,postgrad,doctor,travel,news,True,0
23,Meera Reddy,45,female,Bengaluru,,India,kn,"kn,en",2023-10-26,postgrad,researcher,gaming,business,False,0
24,Sneha Mehta,35,female,Jaipur,,India,hi,"hi,en,bn",2020-04-22,highschool,doctor,"art,nature,travel",socializing,False,0
25,Ishita Chatterjee,45,female,Patna,,India,hi,"hi,en",2020-10-03,phd,doctor,"fitness,photography",business,True,0
26,Kavya Patel,43,female,Ahmedabad,,India,kn,kn,2023-01-06,other,researcher,"gaming,photography,reading",socializing,False,0
27,Neha Gupta,49,female,Lucknow,,India,hi,"hi,en",2025-09-13,other,sales,"photography,politics",news,True,0
28,Ananya Chatterjee,40,female,Kochi,,India,ml,"ml,en",2023-05-08,undergrad,artist,cooking,gaming,False,0
29,Rahul Bose,60,male,Bengaluru,,India,kn,"kn,en",2019-09-06,other,other,gaming,gaming,True,0
30,Riya Gupta,40,female,Bhubaneswar,,India,or,or,2016-11-14,undergrad,sales,politics,socializing,True,0
31,Neha Joshi,46,female,Bengaluru,,India,kn,"kn,en",2020-07-06,phd,engineer,tech,gaming,True,0
32,Aman Gupta,47,male,Bhubaneswar,,India,or,"or,en",2021-04-16,undergrad,student,"art,fitness",networking,True,0
33,Sanya Deshmukh,45,female,Thiruvananthapuram,,India,ml,ml,2020-06-04,postgrad,data_scientist,fitness,news,False,0
34,Aarohi Mehta,42,female,Delhi,,India,hi,"hi,en",2024-05-17,postgrad,doctor,"sports,fashion,movies",learning,False,0
35,Rohan Reddy,60,male,Bhopal,,India,hi,"hi,en",2025-09-20,highschool,data_scientist,"tech,gaming",business,False,0
36,Aisha Reddy,47,female,Bengaluru,,India,or,"or,en",2024-11-06,undergrad,data_scientist,"fashion,art,travel",gaming,False,0
37,Nisha Banerjee,44,female,Patna,,India,hi,"hi,en",2023-06-23,undergrad,student,"art,music,travel",gaming,True,0
38,Nikhil Singh,40,male,Patna,,India,hi,"hi,en",2018-08-19,postgrad,artist,music,business,False,0
39,Jahnvi Reddy,16,female,Pune,,India,mr,"mr,en",2022-06-20,postgrad,engineer,fitness,networking,True,0
40,Ananya Bhat,18,female,Chennai,,India,ta,ta,2018-12-24,other,manager,"nature,science,reading",socializing,False,0
41,Ishita Deshmukh,31,female,Chennai,,India,mr,"mr,en",2018-07-26,undergrad,artist,"tech,fashion",business,False,0
42,Vikram Mukherjee,19,male,Ahmedabad,,India,gu,"gu,en,te",2019-11-25,phd,artist,fashion,business,False,0
43,Sanya Bhat,41,female,Jaipur,,India,hi,hi,2017-12-16,other,sales,"gaming,fashion",news,False,0
44,Jahnvi Kapoor,46,female,Chennai,,India,ta,"ta,en,pa",2025-03-08,undergrad,researcher,"fashion,fitness,art",business,False,0
45,Sagar Mehta,30,male,Bengaluru,,India,kn,"kn,en",2024-05-04,undergrad,developer,cooking,news,True,0
46,Aarav Patel,55,male,Guwahati,,India,as,as,2021-02-04,phd,other,"sports,travel,art",gaming,False,0
47,Kavya Joshi,22,female,Kochi,,India,as,"as,en,pa",2017-05-14,undergrad,manager,"cooking,sports",networking,False,0
48,Zoya Kapoor,40,female,Chennai,,India,ta,"ta,en,te",2024-07-18,other,data_scientist,gaming,gaming,True,0
49,Kavya Iyer,22,female,Pune,,India,mr,"mr,en",2023-08-08,highschool,artist,music,networking,False,0
50,Rajat Kapoor,27,male,Pune,,India,as,"as,en",2016-06-18,postgrad,lawyer,"reading,nature",news,False,0
51,Dev Mehta,32,male,Kolkata,,India,bn,"bn,en",2019-12-28,phd,data_scientist,movies,networking,False,0
52,Sagar Khan,51,male,Delhi,,India,hi,"hi,en,mr",2021-07-05,highschool,student,"music,travel,tech",news,False,0
53,Aisha Gowda,29,female,Bengaluru,,India,bn,"bn,en",2020-06-02,other,teacher,photography,business,True,0
54,Dev Patel,49,male,Chennai,,India,ta,"ta,en,hi",2022-08-19,postgrad,student,"nature,tech",networking,False,0
55,Harsh Mukherjee,19,male,Patna,,India,hi,"hi,en,as",2024-09-10,highschool,developer,"travel,fashion,gaming",gaming,True,0
56,Nisha Mukherjee,47,female,Kochi,,India,bn,bn,2023-02-15,undergrad,other,"reading,politics,fashion",learning,True,0
57,Vikram Chatterjee,57,male,Guwahati,,India,as,"as,gu",2017-04-02,phd,manager,"photography,politics,gaming",news,False,0
58,Jahnvi Chatterjee,27,female,Bhopal,,India,hi,"hi,en",2022-08-01,postgrad,manager,"travel,music,science",socializing,True,0
59,Kavya Verma,30,female,Kolkata,,India,or,"or,bn",2021-04-02,highschool,artist,"science,fitness",business,False,0
60,Ira Chatterjee,30,female,Kolkata,,India,pa,"pa,en,as",2020-09-02,postgrad,student,"gaming,science",gaming,False,0
61,Rahul Banerjee,28,male,Ahmedabad,,India,or,"or,bn",2022-03-08,highschool,student,"photography,gaming",learning,True,0
62,Sanya Nair,56,female,Delhi,,India,gu,gu,2025-03-02,other,manager,photography,socializing,True,0
63,Ananya Deshmukh,57,female,Kochi,,India,ml,"ml,kn",2023-12-23,highschool,sales,"fitness,cooking,science",learning,True,0
64,Nisha Singh,36,female,Ahmedabad,,India,gu,gu,2021-07-23,postgrad,lawyer,photography,socializing,False,0
65,Diya Banerjee,60,female,Kochi,,India,ml,"ml,en",2017-01-24,undergrad,sales,science,news,False,0
66,Rohan Iyer,23,male,Guwahati,,India,as,"as,en,or",2017-03-25,undergrad,student,"science,music",socializing,True,0
67,Harsh Singh,33,male,Hyderabad,,India,te,"te,en,gu",2020-09-11,phd,engineer,art,business,False,0
68,Priya Patel,36,female,Lucknow,,India,hi,"hi,en",2018-02-02,other,student,"gaming,photography,cooking",learning,True,0
69,Rahul Deshmukh,37,male,Patna,,India,hi,"hi,en",2018-12-04,phd,other,gaming,gaming,True,0
70,Siddharth Bose,57,male,Kolkata,,India,bn,bn,2022-04-19,postgrad,other,"fashion,travel",news,True,0
71,Aarav Deshmukh,45,male,Thiruvananthapuram,,India,ml,"ml,en",2020-02-26,highschool,doctor,"reading,fashion",socializing,False,0
72,Naveen Patel,32,male,Delhi,,India,hi,"hi,en",2021-09-05,other,student,"music,science,movies",news,False,0
73,Diya Chatterjee,59,female,Guwahati,,India,as,"as,en",2025-01-19,undergrad,engineer,photography,networking,False,0
74,Rajat Singh,25,male,Pune,,India,mr,"mr,en",2019-07-16,phd,researcher,"sports,fashion",socializing,False,0
75,Nikhil Mehta,33,male,Bhopal,,India,hi,"hi,en",2024-08-10,undergrad,other,"reading,sports,travel",gaming,False,0
76,Aditi Khan,21,female,Jaipur,,India,hi,"hi,en",2021-12-21,phd,lawyer,science,networking,True,0
77,Diya Bhat,41,female,Patna,,India,hi,"hi,en",2020-08-19,postgrad,other,"art,travel,politics",networking,True,0
78,Aditi Kapoor,54,female,Kochi,,India,kn,"kn,pa",2022-10-27,highschool,student,sports,networking,False,0
79,Tanvi Bose,24,female,Ahmedabad,,India,gu,"gu,en,ta",2021-09-11,other,student,gaming,news,False,0
80,Ankit Mehta,59,male,Mumbai,,India,ml,"ml,en,as",2021-01-01,phd,developer,"sports,nature",business,False,0
81,Priya Kapoor,50,female,Pune,,India,mr,"mr,en",2023-05-28,phd,engineer,sports,news,False,0
82,Yash Verma,29,male,Hyderabad,,India,te,"te,en",2019-11-22,undergrad,researcher,"art,fashion",socializing,False,0
83,Naveen Joshi,18,male,Bhopal,,India,hi,"hi,en",2022-05-16,phd,lawyer,"sports,fashion,photography",networking,False,0
84,Varun Chatterjee,27,male,Pune,,India,mr,"mr,en",2025-06-04,undergrad,researcher,"fashion,reading",gaming,False,0
85,Sagar Bose,52,male,Patna,,India,hi,"hi,en",2016-11-02,postgrad,engineer,music,networking,False,0
86,Riya Kapoor,23,female,Chennai,,India,ta,"ta,en",2016-11-20,other,student,"reading,movies,music",gaming,False,0
87,Yash Banerjee,40,male,Thiruvananthapuram,,India,bn,"bn,en",2024-01-09,other,student,fashion,socializing,True,0
88,Pooja Gupta,41,female,Delhi,,India,hi,"hi,en",2021-03-11,other,manager,"art,tech",learning,True,0
89,Pooja Kapoor,24,female,Kolkata,,India,mr,"mr,en",2016-06-17,highschool,doctor,"sports,gaming,science",business,False,0
90,Priya Iyer,37,female,Kochi,,India,ml,"ml,en",2017-09-11,other,sales,"tech,sports,nature",networking,False,0
91,Aarav Mukherjee,28,male,Ahmedabad,,India,as,as,2023-05-28,phd,doctor,"art,fashion",gaming,False,0
92,Varun Singh,28,male,Jaipur,,India,mr,"mr,ta",2024-10-25,undergrad,other,photography,business,True,0
93,Priya Mehta,53,female,Delhi,,India,hi,"hi,en,gu",2021-03-18,postgrad,artist,"gaming,cooking",networking,True,0
94,Aman Mehta,16,male,Patna,,India,hi,"hi,ml",2019-06-11,other,manager,"politics,reading",business,False,0
95,Rohan Agarwal,56,male,Pune,,India,mr,"mr,en",2018-11-11,phd,student,"art,fitness,photography",news,False,0
96,Kabir Mukherjee,25,male,Lucknow,,India,hi,"hi,en",2024-06-03,postgrad,developer,sports,news,False,0
97,Sagar Patel,57,male,Jaipur,,India,hi,"hi,en",2020-01-12,postgrad,researcher,"science,sports",socializing,False,0
98,Harsh Sharma,41,male,Mumbai,,India,bn,"bn,en",2023-05-17,highschool,manager,fashion,socializing,True,0
99,Kunal Bose,40,male,Bhubaneswar,,India,mr,"mr,en",2019-09-23,other,doctor,"movies,photography",news,False,0
100,Ira Deshmukh,40,female,Thiruvananthapuram,,India,ml,"ml,en",2018-04-18,postgrad,sales,"movies,nature,art",networking,True,0
101,Rajat Mukherjee,44,male,Mumbai,,India,mr,"mr,en",2017-12-24,highschool,manager,"fashion,nature",socializing,False,0
102,Aarav Singh,33,male,Thiruvananthapuram,,India,ml,"ml,or",2020-11-10,other,manager,travel,networking,False,0
103,Siddharth Kapoor,22,male,Bhopal,,India,hi,"hi,en",2020-04-07,undergrad,developer,tech,socializing,False,0
104,Ankit Joshi,26,male,Thiruvananthapuram,,India,ml,"ml,en,kn",2016-07-06,postgrad,doctor,"cooking,gaming,movies",socializing,False,0
105,Varun Agarwal,34,male,Kolkata,,India,bn,"bn,en",2018-06-05,postgrad,developer,"sports,photography,fitness",socializing,False,0
106,Sagar Deshmukh,30,male,Mumbai,,India,mr,"mr,en",2024-12-04,phd,student,science,learning,False,0
107,Ankit Sharma,41,male,Lucknow,,India,gu,"gu,en",2023-04-23,other,doctor,photography,networking,True,0
108,Nisha Verma,31,female,Jaipur,,India,gu,"gu,en,te",2021-08-02,other,manager,"fashion,photography",news,False,0
109,Ishita Verma,59,female,Bhubaneswar,,India,or,"or,bn",2016-03-10,other,other,"photography,music,politics",socializing,True,0
110,Varun Bose,50,male,Bengaluru,,India,mr,"mr,en",2019-07-01,highschool,manager,"politics,art,fitness",gaming,False,0
111,Jahnvi Sharma,55,female,Kochi,,India,ml,"ml,en",2024-05-28,postgrad,artist,fashion,learning,False,0
112,Vikram Bhat,29,male,Hyderabad,,India,bn,"bn,en",2024-03-12,postgrad,sales,"fashion,gaming",business,True,0
113,Priya Joshi,58,female,Bhubaneswar,,India,or,"or,en",2023-03-09,postgrad,data_scientist,"fitness,tech,politics",learning,False,0
114,Harsh Patel,56,male,Pune,,India,mr,"mr,en",2021-01-05,other,engineer,"fitness,reading",news,False,0
115,Aditi Agarwal,23,female,Bhopal,,India,hi,"hi,as",2020-01-17,undergrad,artist,"art,music",learning,False,0
116,Jahnvi Gowda,40,female,Bhopal,,India,hi,"hi,en",2019-02-04,highschool,developer,nature,socializing,False,0
117,Sagar Bhat,42,male,Guwahati,,India,te,te,2020-07-11,highschool,manager,"nature,tech",business,False,0
118,Dev Deshmukh,39,male,Bhopal,,India,bn,"bn,en,pa",2023-07-21,other,engineer,photography,business,True,0
119,Varun Nair,28,male,Bhopal,,India,hi,"hi,en",2018-03-01,other,researcher,"tech,photography,fashion",socializing,False,0
120,Siddharth Chatterjee,57,male,Bhubaneswar,,India,hi,hi,2020-04-08,phd,developer,travel,learning,False,0
121,Aisha Joshi,40,female,Patna,,India,hi,"hi,en,bn",2024-07-09,highschool,data_scientist,"tech,music",news,False,0
122,Dev Bhat,42,male,Bhubaneswar,,India,or,"or,en",2023-06-27,highschool,engineer,"travel,gaming,movies",business,False,0
123,Ira Banerjee,51,female,Kochi,,India,ta,"ta,en",2022-03-27,postgrad,student,science,gaming,False,0
124,Neha Patel,52,female,Ahmedabad,,India,gu,gu,2022-05-28,postgrad,developer,"tech,nature",socializing,False,0
125,Rajat Deshmukh,59,male,Patna,,India,hi,"hi,en",2023-02-28,phd,doctor,art,networking,False,0
126,Meera Verma,40,female,Hyderabad,,India,te,te,2017-12-16,phd,manager,"cooking,music,photography",news,True,0
127,Aditi Sharma,29,female,Thiruvananthapuram,,India,pa,"pa,en",2025-09-21,phd,lawyer,"photography,art,politics",networking,True,0
128,Kabir Gowda,30,male,Lucknow,,India,hi,"hi,en,or",2018-12-02,highschool,student,music,learning,False,0
129,Rohan Sharma,39,male,Jaipur,,India,hi,"hi,en",2019-05-16,highschool,data_scientist,travel,socializing,True,0
130,Aakash Verma,44,male,Bengaluru,,India,kn,"kn,en",2025-01-09,postgrad,engineer,"reading,nature,science",networking,False,0
131,Sneha Agarwal,34,female,Jaipur,,India,hi,"hi,en",2022-08-16,other,sales,"fitness,travel,cooking",networking,False,0
132,Ananya Deshmukh,45,female,Thiruvananthapuram,,India,ml,"ml,en",2016-04-14,other,other,nature,gaming,False,0
133,Nisha Iyer,46,female,Delhi,,India,te,"te,en",2016-12-19,postgrad,student,music,news,False,0
134,Ananya Verma,53,female,Bhopal,,India,hi,hi,2017-01-05,highschool,doctor,"nature,music,cooking",business,False,0
135,Aakash Mehta,43,male,Kochi,,India,ml,"ml,en,bn",2023-02-04,postgrad,other,music,learning,False,0
136,Zoya Reddy,41,female,Kochi,,India,ml,"ml,en,pa",2024-05-16,postgrad,researcher,"fitness,fashion,travel",news,False,0
137,Nisha Patel,50,female,Jaipur,,India,hi,"hi,en",2023-08-17,other,lawyer,"movies,politics",socializing,False,0
138,Rahul Joshi,53,male,Bengaluru,,India,kn,kn,2023-06-19,highschool,researcher,"reading,tech,movies",learning,False,0
139,Rahul Banerjee,28,male,Jaipur,,India,hi,"hi,en",2024-08-21,undergrad,developer,"tech,politics",news,False,0
140,Naveen Singh,52,male,Bhopal,,India,hi,"hi,en",2017-07-03,undergrad,artist,"politics,fashion",socializing,True,0
141,Sanya Bhat,18,female,Thiruvananthapuram,,India,kn,"kn,en,te",2019-10-26,other,other,"reading,politics,music",learning,False,0
142,Harsh Bose,59,male,Mumbai,,India,mr,"mr,en",2023-12-19,undergrad,artist,movies,socializing,False,0
143,Neha Joshi,19,female,Lucknow,,India,hi,"hi,en",2025-03-08,postgrad,engineer,fitness,networking,False,0
144,Rohit Chatterjee,51,male,Jaipur,,India,hi,"hi,en",2025-01-24,undergrad,manager,"nature,reading,fitness",business,False,0
145,Yash Sharma,28,male,Bhopal,,India,hi,"hi,en",2022-02-28,other,other,"gaming,fashion",business,False,0
146,Jahnvi Nair,59,female,Guwahati,,India,as,"as,en",2018-12-10,phd,artist,reading,socializing,True,0
147,Mira Joshi,33,female,Patna,,India,hi,"hi,en",2023-06-23,undergrad,artist,science,socializing,False,0
148,Mira Gowda,28,female,Kolkata,,India,bn,"bn,en",2017-03-24,undergrad,lawyer,"reading,politics,fashion",learning,False,0
149,Aarohi Banerjee,34,female,Pune,,India,pa,"pa,en",2016-12-14,undergrad,researcher,"fitness,gaming,reading",networking,False,0
150,Meera Sharma,37,female,Thiruvananthapuram,,India,ta,"ta,en,mr",2017-02-10,other,manager,"tech,gaming,reading",networking,False,0
151,Ananya Mukherjee,21,female,Bengaluru,,India,or,"or,en",2018-10-16,undergrad,lawyer,nature,socializing,True,0
152,Dev Gowda,36,male,Ahmedabad,,India,or,"or,en,gu",2022-11-18,highschool,sales,fashion,news,False,0
153,Kavya Sharma,45,female,Delhi,,India,hi,"hi,en",2023-12-09,postgrad,teacher,"gaming,photography,travel",gaming,False,0
154,Pooja Mukherjee,30,female,Kolkata,,India,bn,"bn,en,te",2020-09-11,undergrad,other,gaming,networking,False,0
155,Aditi Gupta,48,female,Mumbai,,India,ml,"ml,en",2023-09-04,highschool,artist,"science,sports",socializing,False,0
156,Aarohi Singh,26,female,Delhi,,India,as,"as,en,mr",2023-08-14,phd,engineer,"fitness,science,travel",networking,False,0
157,Nikhil Chatterjee,59,male,Jaipur,,India,hi,hi,2016-01-08,other,student,"photography,tech",gaming,False,0
158,Sagar Mehta,26,male,Kochi,,India,ml,ml,2016-10-05,highschool,engineer,"nature,fitness",networking,False,0
159,Nikhil Mukherjee,53,male,Chennai,,India,as,as,2021-05-15,phd,lawyer,"cooking,travel,art",business,False,0
160,Siddharth Khan,25,male,Thiruvananthapuram,,India,ml,"ml,en",2020-11-11,phd,sales,"nature,science,fitness",learning,True,0
161,Aditi Verma,46,female,Guwahati,,India,as,"as,en",2017-04-01,highschool,engineer,"cooking,reading",socializing,True,0
162,Ishita Mukherjee,47,female,Delhi,,India,or,"or,hi",2021-01-11,other,artist,"music,travel",news,False,0
163,Rohan Mehta,49,male,Lucknow,,India,hi,"hi,en",2019-03-23,other,lawyer,"movies,gaming,reading",business,False,0
164,Meera Verma,21,female,Chennai,,India,ta,ta,2024-03-09,phd,lawyer,"fashion,science",gaming,False,0
165,Harsh Mehta,18,male,Thiruvananthapuram,,India,ml,ml,2018-02-24,highschool,manager,"travel,politics,photography",news,False,0
166,Rahul Banerjee,56,male,Patna,,India,hi,"hi,en",2023-03-12,highschool,teacher,science,learning,True,0
167,Jahnvi Deshmukh,25,female,Bhopal,,India,bn,"bn,en",2021-08-24,other,artist,"movies,art,nature",socializing,False,0
168,Naveen Mehta,21,male,Pune,,India,mr,"mr,en,ml",2022-05-15,postgrad,developer,"movies,fashion",socializing,False,0
169,Sneha Sharma,48,female,Bengaluru,,India,mr,"mr,en",2019-11-16,phd,doctor,"reading,gaming",socializing,False,0
170,Aakash Bhat,27,male,Bhubaneswar,,India,or,"or,en",2019-08-19,undergrad,manager,"photography,science,movies",learning,False,0
171,Kabir Reddy,39,male,Pune,,India,mr,mr,2022-08-10,postgrad,developer,"art,photography",business,False,0
172,Priya Sharma,34,female,Patna,,India,hi,"hi,en",2022-05-16,phd,engineer,science,socializing,False,0
173,Aditi Verma,50,female,Patna,,India,te,"te,en",2020-10-14,phd,artist,"reading,science,fitness",news,False,0
174,Rohan Khan,37,male,Kochi,,India,ml,"ml,en,kn",2025-01-24,postgrad,student,"politics,cooking",news,False,0
175,Dev Verma,23,male,Kolkata,,India,bn,bn,2025-10-24,highschool,lawyer,"reading,nature,fashion",socializing,True,0
176,Siddharth Bhat,55,male,Mumbai,,India,mr,"mr,en,pa",2021-01-02,undergrad,lawyer,"science,reading",gaming,True,0
177,Ankit Mehta,47,male,Pune,,India,mr,"mr,en,bn",2021-05-15,undergrad,other,"politics,music,fitness",socializing,False,0
178,Ishita Patel,32,female,Patna,,India,hi,"hi,en,gu",2018-07-16,highschool,manager,gaming,learning,False,0
179,Ira Verma,21,female,Bengaluru,,India,kn,"kn,en",2022-10-04,highschool,lawyer,politics,business,True,0
180,Rajat Sharma,52,male,Kochi,,India,ml,"ml,en",2022-09-09,undergrad,lawyer,reading,news,False,0
181,Siddharth Bose,35,male,Kochi,,India,te,"te,en",2022-02-25,phd,manager,"reading,sports",business,True,0
182,Arjun Verma,17,male,Lucknow,,India,hi,"hi,en",2022-04-21,highschool,manager,"movies,fitness",networking,True,0
183,Rahul Agarwal,30,male,Delhi,,India,hi,hi,2018-11-12,other,developer,"science,nature",learning,False,0
184,Ananya Agarwal,49,female,Jaipur,,India,hi,"hi,en",2020-01-07,phd,student,"science,fashion",gaming,False,0
185,Kabir Nair,57,male,Bengaluru,,India,pa,pa,2017-04-04,postgrad,developer,"photography,fashion,politics",socializing,True,0
186,Kunal Chatterjee,36,male,Delhi,,India,hi,"hi,ta",2021-07-23,other,researcher,"music,cooking",news,False,0
187,Ira Singh,59,female,Lucknow,,India,hi,"hi,en",2022-01-16,undergrad,teacher,"travel,reading",socializing,False,0
188,Rohit Deshmukh,34,male,Mumbai,,India,mr,"mr,en",2016-11-18,undergrad,other,"travel,reading",socializing,False,0
189,Nisha Kapoor,28,female,Bhopal,,India,as,"as,en,kn",2023-10-28,postgrad,manager,tech,business,False,0
190,Arjun Deshmukh,38,male,Chennai,,India,ta,"ta,en",2019-12-01,other,teacher,cooking,news,False,0
191,Riya Joshi,18,female,Kochi,,India,ml,"ml,en",2022-02-15,other,student,"politics,fitness",news,True,0
192,Ishita Iyer,32,female,Jaipur,,India,hi,"hi,en,kn",2016-10-24,postgrad,student,"sports,art",business,False,0
193,Aarav Chatterjee,51,male,Delhi,,India,hi,"hi,or",2017-06-06,highschool,student,"photography,politics",news,False,0
194,Aarav Chatterjee,37,male,Patna,,India,as,"as,en",2018-12-06,highschool,researcher,"fashion,gaming",news,False,0
195,Kabir Gupta,40,male,Bhubaneswar,,India,mr,"mr,en",2025-07-16,postgrad,engineer,reading,socializing,False,0
196,Zoya Singh,43,female,Bengaluru,,India,kn,"kn,en,ta",2017-05-21,postgrad,other,reading,networking,False,0
197,Aarohi Banerjee,34,female,Ahmedabad,,India,gu,"gu,en,pa",2022-12-03,other,artist,"politics,reading",socializing,True,0
198,Kavya Gowda,41,female,Jaipur,,India,hi,"hi,en,or",2025-09-22,highschool,teacher,art,networking,False,0
199,Aditi Chatterjee,43,female,Jaipur,,India,hi,"hi,en",2016-08-10,other,artist,"fitness,photography",business,False,0
200,Kabir Patel,16,male,Guwahati,,India,as,"as,en",2017-07-18,highschool,sales,"fashion,music,tech",learning,False,0
201,Nisha Sharma,48,female,Chennai,,India,as,"as,en",2022-09-24,phd,teacher,"cooking,sports",news,False,0
202,Sneha Verma,48,female,Kochi,,India,ml,"ml,en",2022-02-24,postgrad,artist,"nature,gaming",gaming,False,0
203,Tanvi Reddy,30,female,Chennai,,India,ta,"ta,en,gu",2020-05-16,postgrad,manager,"sports,cooking",learning,False,0
204,Aarav Gowda,16,male,Patna,,India,hi,"hi,en,or",2021-01-27,other,teacher,"movies,nature,music",news,False,0
205,Ira Khan,37,female,Bhopal,,India,hi,"hi,en",2022-11-19,postgrad,engineer,"reading,cooking,nature",news,True,0
206,Yash Singh,20,male,Jaipur,,India,hi,"hi,en,ta",2023-04-20,undergrad,artist,"science,travel",business,True,0
207,Ira Agarwal,40,female,Ahmedabad,,India,gu,gu,2020-06-08,postgrad,other,gaming,news,False,0
208,Rohan Reddy,22,male,Bhopal,,India,hi,"hi,en",2022-06-10,postgrad,lawyer,"fitness,photography,music",news,True,0
209,Neha Banerjee,28,female,Kochi,,India,kn,"kn,en",2020-09-23,postgrad,other,"politics,cooking",socializing,False,0
210,Aarohi Sharma,20,female,Hyderabad,,India,gu,"gu,en",2019-05-13,postgrad,student,"art,photography",news,False,0
211,Tanvi Bhat,53,female,Kolkata,,India,bn,"bn,en",2018-01-19,postgrad,artist,gaming,gaming,False,0
212,Rohit Singh,45,male,Lucknow,,India,hi,"hi,en",2016-09-23,phd,teacher,"fashion,cooking",business,True,0
213,Jahnvi Gupta,57,female,Bhopal,,India,hi,hi,2016-11-19,phd,sales,science,news,True,0
214,Nikhil Khan,33,male,Bhubaneswar,,India,kn,"kn,en,te",2018-11-12,other,student,"reading,sports",gaming,False,0
215,Jahnvi Nair,34,female,Kochi,,India,ml,"ml,en",2021-05-16,phd,sales,"photography,art",socializing,False,0
216,Rahul Mukherjee,53,male,Mumbai,,India,mr,mr,2017-03-09,other,other,"art,music",networking,True,0
217,Ananya Gupta,34,female,Ahmedabad,,India,gu,"gu,en",2018-06-20,highschool,lawyer,tech,news,True,0
218,Rahul Patel,58,male,Bengaluru,,India,kn,"kn,en",2020-03-25,other,other,"art,movies",business,False,0
219,Aakash Khan,54,male,Guwahati,,India,as,"as,en",2025-06-07,phd,lawyer,"fitness,reading,science",learning,False,0
220,Pooja Reddy,17,female,Kochi,,India,hi,"hi,en",2018-09-20,other,lawyer,"art,movies,tech",networking,True,0
221,Zoya Khan,48,female,Ahmedabad,,India,ta,"ta,en",2020-09-22,phd,other,"tech,travel",learning,False,0
222,Nisha Mukherjee,60,female,Kochi,,India,ml,"ml,en",2017-05-25,phd,artist,cooking,networking,True,0
223,Kunal Mukherjee,35,male,Delhi,,India,hi,"hi,en",2016-03-05,other,student,tech,news,False,0
224,Ishita Mukherjee,37,female,Jaipur,,India,hi,hi,2018-02-13,postgrad,teacher,sports,gaming,True,0
225,Kunal Mehta,29,male,Bhubaneswar,,India,gu,"gu,en",2018-06-26,highschool,artist,"reading,movies,art",networking,False,0
226,Kabir Deshmukh,16,male,Kochi,,India,ml,"ml,en,as",2023-08-24,other,other,music,networking,False,0
227,Neha Gowda,53,female,Ahmedabad,,India,gu,"gu,bn",2018-10-10,highschool,artist,gaming,gaming,False,0
228,Naveen Singh,55,male,Bengaluru,,India,kn,"kn,or",2025-09-12,postgrad,teacher,"music,nature",news,True,0
